================ Training Loss (Wed Sep 29 14:38:01 2021) ================
   Avg Run Time (ms/batch): 38.181 auc: 0.462 max auc: 0.598
   Avg Run Time (ms/batch): 33.144 auc: 0.448 max auc: 0.598
   Avg Run Time (ms/batch): 40.281 auc: 0.441 max auc: 0.598
   Avg Run Time (ms/batch): 34.837 auc: 0.423 max auc: 0.598
   Avg Run Time (ms/batch): 35.441 auc: 0.495 max auc: 0.598
   Avg Run Time (ms/batch): 30.912 auc: 0.458 max auc: 0.598
   Avg Run Time (ms/batch): 35.107 auc: 0.494 max auc: 0.598
   Avg Run Time (ms/batch): 34.022 auc: 0.506 max auc: 0.598
   Avg Run Time (ms/batch): 36.168 auc: 0.487 max auc: 0.598
   Avg Run Time (ms/batch): 36.377 auc: 0.463 max auc: 0.598
   Avg Run Time (ms/batch): 36.784 auc: 0.473 max auc: 0.598
   Avg Run Time (ms/batch): 39.440 auc: 0.502 max auc: 0.598
   Avg Run Time (ms/batch): 30.575 auc: 0.444 max auc: 0.598
   Avg Run Time (ms/batch): 29.898 auc: 0.314 max auc: 0.598
   Avg Run Time (ms/batch): 35.563 auc: 0.491 max auc: 0.598
   Avg Run Time (ms/batch): 30.934 auc: 0.492 max auc: 0.598
   Avg Run Time (ms/batch): 38.058 auc: 0.353 max auc: 0.598
   Avg Run Time (ms/batch): 35.130 auc: 0.534 max auc: 0.598
   Avg Run Time (ms/batch): 25.935 auc: 0.445 max auc: 0.598
   Avg Run Time (ms/batch): 33.164 auc: 0.466 max auc: 0.598
   Avg Run Time (ms/batch): 37.666 auc: 0.525 max auc: 0.598
   Avg Run Time (ms/batch): 33.591 auc: 0.435 max auc: 0.598
   Avg Run Time (ms/batch): 33.517 auc: 0.556 max auc: 0.598
   Avg Run Time (ms/batch): 36.693 auc: 0.508 max auc: 0.598
   Avg Run Time (ms/batch): 33.859 auc: 0.419 max auc: 0.598
   Avg Run Time (ms/batch): 34.284 auc: 0.437 max auc: 0.598
   Avg Run Time (ms/batch): 33.388 auc: 0.454 max auc: 0.598
   Avg Run Time (ms/batch): 39.508 auc: 0.484 max auc: 0.598
